"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"3B, 1B, 2B","King, Jeff R  ","$3,365,000","6492",".231",".296",".365","63.3","38.2","11.9","Av","7185",".681",".649","-1","","Vg/60","Fr/102","Av/89","","","","","&nbsp;","Av","Prone",".299",".294",  
"RF, 1B, LF, CF","Johnstone, Jay L  ","$3,361,000","16486",".260",".318",".387","73.7","49.1","13.0","Av","18169",".550",".724","3","","Fr/227","","","","Av/104","Fr/104","Av/104","Av","Fr","Normal",".266",".324",  
"C","Dempsey, Rick R  ","$3,359,000","12475",".226",".311",".322","60.0","75.6","9.22","Fr","14268",".672",".609","-1","Vg/87","","","","","","","","&nbsp;","Pr","Normal",".331",".299",  
"3B, 1B, 2B","Howe, Art R  ","$3,357,000","10342",".251",".312",".370","67.5","60.5","12.4","Fr","11425",".697",".671","-1","","Av/148","Av/72","Av/67","","","","","&nbsp;","Pr","Prone",".316",".308",  
"C","Kennedy, Terry L  ","$3,356,000","14497",".255",".303",".365","63.2","58.0","15.9","Pr","15694",".597",".680","1","Av/101","","","","","","","","&nbsp;","Pr","Normal",".275",".307",  
"C","Virgil, Ozzie R  ","$3,355,000","9955",".224",".300",".377","63.5","26.3","11.0","Fr","11165",".643",".692","0","Vg/91","","","","","","","","&nbsp;","Pr","Normal",".295",".302",  
"2B, 3B","Flannery, Tim L  ","$3,350,000","16446",".247",".322",".304","60.9","335.6","10.9","Av","18634",".484",".651","5","","","Av/91","Av/88","","","","","&nbsp;","Fr","Prone",".260",".333",  
"LF","Henderson, Steve R  ","$3,346,000","13580",".268",".337",".379","73.9","67.9","10.7","Vg","15155",".755",".694","-1","","","","","","Av/159","","","Fr","Av","Normal",".350",".329",  
"RF, C, 1B, 3B, LF","Moreland, Keith R  ","$3,341,000","19319",".265",".327",".376","70.7","54.7","12.1","Pr","21383",".758",".626","-2","Fr/132","Av/116","","Fr/157","","Fr/102","","Fr/102","Av","Fr","Normal",".345",".300",  
"1B","Hopkins, Gail L  ","$3,334,000","17887",".265",".341",".377","78.1","55.7","9.90","Fr","20229",".553",".737","5","","Av/107","","","","","","","&nbsp;","Pr","Normal",".292",".347",  
"3B, 1B, RF","Valencia, Danny R  ","$3,333,000","10463",".270",".327",".394","74.3","49.6","12.6","Fr","11539",".783",".664","-3","","Av/167","","Fr/93","","","","Fr/42","Fr","Pr","Normal",".351",".303",  
"3B","Palmer, Dean R  ","$3,330,000","24126",".230",".300",".412","73.0","22.4","11.4","Av","26876",".763",".683","-2","","","","Fr/132","","","","","&nbsp;","Fr","Prone",".316",".290",  
"RF, LF","Kelly, Pat H L  ","$3,328,000","7909",".256",".338",".367","76.3","67.0","9.30","Vg","8990",".583",".718","2","","","","","","Fr/112","","Fr/112","Av","Vg","Prone",".308",".341",  
"3B, SS","Brain, Dave R  ","$3,323,000","11079",".244",".288",".382","63.7","44.9","16.9","Vg","11976",".671",".667","-1","","","","Vg/115","Fr/104","","","","&nbsp;","Vg","Prone",".294",".284",  
"LF","Reimold, Nolan R  ","$3,321,000","3677",".238",".320",".367","70.7","42.3","9.51","Av","4176",".629",".711","1","","","","","","Fr/178","","","Fr","Fr","Prone",".299",".329",  
"RF, 1B, LF, CF","Eisenreich, Jim L  ","$3,320,000","10671",".271",".325",".361","70.2","138.6","13.4","Av","11663",".616",".703","2","","Fr/165","","","","Av/62","Fr/62","Av/62","Fr","Av","Prone",".300",".331",  
"LF, CF, RF","Johnson, Reed R  ","$3,319,000","3541",".254",".311",".330","60.2","168.6","19.4","Av","3887",".675",".639","-2","","","","","","Vg/73","Av/73","Vg/73","Av","Fr","Prone",".322",".312",  
"C","Garagiola, Joe L  ","$3,310,000","6366",".231",".322",".347","68.3","53.0","8.78","Fr","7308",".591",".687","1","Av/82","","","","","","","","&nbsp;","Pr","Prone",".289",".329",  
"C","Saltalamacchia, Jarrod S  ","$3,310,000","26748",".231",".307",".375","69.0","33.5","10.0","Fr","30024",".613",".697","3","Fr/144","","","","","","","","&nbsp;","Pr","Prone",".278",".314",  
"3B","Dillinger, Bob R  ","$3,305,000","19360",".276",".320",".352","65.2","172.9","17.5","Vg","20886",".706",".651","-1","","","","Av/119","","","","","&nbsp;","Vg","Normal",".332",".313",  
"3B, 1B, 2B","Cubbage, Mike L  ","$3,301,000","25741",".248",".321",".356","69.9","63.9","10.5","Fr","29006",".509",".704","4","","Av/88","Fr/158","Av/104","","","","","&nbsp;","Fr","Normal",".264",".330",  
"RF, LF, CF","Davis, Mike L  ","$3,297,000","9024",".257",".305",".398","71.0","40.1","15.8","Vg","9789",".698",".705","0","","","","","","Av/170","Av/170","Av/170","Vg","Vg","Prone",".296",".308",  
"CF","Cole, Alex L  ","$3,294,000","16500",".266",".344",".327","70.6","257.8","9.61","Ex","18661",".623",".687","1","","","","","","","Av/159","","Fr","Ex","Prone",".333",".348",  
"C","Hargrave, Pinky S  ","$3,292,000","18957",".237",".302",".369","65.0","38.1","12.1","Pr","20981",".707",".654","-1","Av/111","","","","","","","","&nbsp;","Fr","Normal",".314",".295",  
"CF, LF, RF","Sanders, Deion L  ","$3,291,000","8805",".246",".303",".345","64.3","106.1","13.9","Vg","9661",".502",".678","2","","","","","","Vg/95","Av/95","Vg/95","Fr","Ex","Prone",".247",".315",  
"LF, CF, RF","Smith, Dwight L  ","$3,290,000","3059",".271",".327",".393","76.1","55.6","13.1","Av","3350",".689",".724","2","","","","","","Av/189","Fr/189","Av/189","Av","Vg","Normal",".333",".325",  
"C","Slaught, Don R  ","$3,289,000","10488",".262",".318",".367","68.2","72.8","14.1","Fr","11565",".705",".670","-1","Fr/111","","","","","","","","&nbsp;","Pr","Fragile",".327",".312",  
"LF, CF, RF","Polonia, Luis L  ","$3,286,000","6641",".278",".329",".348","66.8","390.6","14.2","Vg","7249",".586",".694","3","","","","","","Av/95","Fr/95","Av/95","Fr","Ex","Normal",".291",".336",  
"RF, 1B, LF","Bush, Randy L  ","$3,285,000","22600",".246",".329",".398","79.0","35.2","9.81","Av","25743",".466",".751","6","","Fr/138","","","","Fr/84","","Fr/84","Fr","Fr","Normal",".240",".337",  
"RF, LF","Moore, Gene L  ","$3,285,000","6364",".252",".310",".381","70.2","50.1","12.9","Vg","6998",".605",".713","1","","","","","","Av/102","","Av/102","Vg","Fr","Normal",".286",".317",  
"3B, 1B","Hansen, Dave L  ","$3,284,000","15503",".256",".347",".353","75.8","73.5","8.13","Pr","17868",".551",".724","3","","Av/127","","Fr/104","","","","","&nbsp;","Pr","Prone",".302",".355",  
"RF, LF","Summers, Champ L  ","$3,284,000","5995",".232",".326",".358","70.5","37.0","8.74","Fr","6919",".554",".713","3","","","","","","Pr/199","","Pr/199","Av","Fr","Normal",".288",".335",  
"LF, RF","Mench, Kevin R  ","$3,278,000","14483",".263",".329",".412","82.6","35.8","11.3","Av","16173",".793",".623","-3","","","","","","Fr/70","","Fr/70","Av","Fr","Normal",".348",".284",  
"RF, LF, CF","Hammonds, Jeffrey R  ","$3,272,000","7075",".248",".317",".361","67.7","60.5","11.3","Vg","7896",".689",".664","-1","","","","","","Av/87","Av/87","Av/87","Av","Av","Fragile",".324",".308",  
"1B","Bouchee, Ed L  ","$3,269,000","6174",".244",".346",".370","79.3","54.2","7.78","Av","7224",".627",".731","1","","Av/117","","","","","","","&nbsp;","Pr","Normal",".318",".351",  
"1B, C","Hatteberg, Scott L  ","$3,265,000","14361",".248",".334",".345","70.4","74.0","8.89","Pr","16427",".596",".700","2","Av/124","Av/102","","","","","","","&nbsp;","Pr","Prone",".297",".343",  
"1B","Larker, Norm L  ","$3,265,000","7987",".262",".336",".374","75.7","58.3","10.5","Fr","9031",".593",".726","3","","Av/84","","","","","","","&nbsp;","Pr","Normal",".297",".341",  
"RF, LF","King, Jim L  ","$3,263,000","6024",".233",".313",".382","72.1","31.9","10.1","Av","6797",".609",".722","1","","","","","","Av/79","","Av/79","Vg","Fr","Prone",".292",".319",  
"CF, LF, RF","Kelly, Roberto R  ","$3,260,000","5245",".259",".307",".371","65.5","54.6","16.2","Av","5676",".710",".637","-2","","","","","","Av/81","Fr/81","Av/81","Fr","Vg","Fragile",".318",".293",  
"1B, LF","Jackson, Conor R  ","$3,254,000","10034",".267",".344",".372","77.7","67.8","9.61","Av","11367",".739",".650","-1","","Fr/148","","","","Av/111","","","Av","Fr","Normal",".351",".323",  
"1B, 2B, 3B, LF, RF","Spiezio, Scott S  ","$3,248,000","17676",".241",".309",".364","67.8","51.4","11.3","Av","19748",".625",".692","1","","Av/59","Av/81","Av/116","","Fr/127","","Fr/127","Av","Fr","Prone",".294",".315",  
"1B, LF, CF, RF","Pepitone, Joe L  ","$3,242,000","12309",".247",".283",".386","62.4","32.9","20.7","Av","13126",".621",".685","2","","Av/80","","","","Av/110","Fr/110","Av/110","Fr","Fr","Prone",".264",".290",  
"CF, RF","Bourn, Michael L  ","$3,241,000","25384",".256",".319",".304","61.4","818.8","12.1","Vg","28246",".594",".631","1","","","","","","","Av/71","Av/71","Av","Vg","Normal",".307",".322",  
"LF, CF","Gladden, Dan R  ","$3,241,000","8737",".249",".307",".342","62.0","88.3","13.9","Vg","9600",".658",".636","-1","","","","","","Vg/84","Av/84","","Av","Vg","Prone",".310",".303",  
"RF, LF","Schulte, Frank L  ","$3,241,000","994",".226",".282",".358","56.3","52.3","14.3","Vg","1100",".520",".661","1","","","","","","Fr/80","","Fr/80","Av","Vg","Normal",".231",".291",  
"2B","Walker, Todd L  ","$3,240,000","16351",".261",".320",".362","69.2","79.8","12.4","Av","17952",".588",".718","2","","","Fr/101","","","","","","&nbsp;","Fr","Normal",".290",".331",  
"C","Lampkin, Tom L  ","$3,237,000","17968",".230",".308",".346","64.1","46.8","11.0","Fr","20251",".440",".678","5","Av/115","","","","","","","","&nbsp;","Fr","Prone",".234",".316",  
"LF, 1B","May, Carlos L  ","$3,236,000","7907",".253",".328",".361","71.1","53.8","10.3","Av","8908",".629",".705","2","","Av/159","","","","Fr/80","","","Av","Av","Normal",".310",".332",  
"C","Chirinos, Robinson R  ","$3,234,000","0","0","0","0","0","0","0","Pr","0","0","0","-2","Av/88","","","","","","","","&nbsp;","Pr","Prone","0","0",  
"LF, RF","Nava, Daniel S  ","$3,231,000","5781",".251",".343",".322","70.2","131.4","9.54","Av","6677",".574",".692","3","","","","","","Av/83","","Av/83","Av","Pr","Prone",".305",".355",  
"CF","Welch, Curt R  ","$3,231,000","10779",".228",".302",".303","55.0","154.0","14.0","Vg","12076",".650",".577","-1","","","","","","","Vg/65","","Vg","Ex","Normal",".321",".290",  
"RF, LF","Robertson, Dave L  ","$3,228,000","6403",".274",".310",".416","73.3","37.7","21.3","Av","6865",".645",".747","1","","","","","","Fr/122","","Fr/122","Av","Vg","Normal",".291",".315",  
"SS, 2B, 3B","Toporcer, Specs L  ","$3,228,000","6948",".237",".311",".326","61.4","96.5","11.2","Fr","7912",".630",".638","1","","","Fr/128","Fr/58","Fr/96","","","","&nbsp;","Fr","Normal",".310",".311",  
"CF, LF, RF","Walton, Jerome R  ","$3,224,000","8760",".259",".335",".343","70.2","97.3","10.5","Fr","9874",".710",".638","-1","","","","","","Vg/89","Av/89","Vg/89","Av","Vg","Fragile",".345",".323",  
"CF, LF, RF","Crutchfield, Jimmy L  ","$3,223,000","9001",".249",".308",".326","59.7","113.9","12.8","Vg","10017",".564",".651","1","","","","","","Vg/77","Vg/77","Vg/77","Av","Vg","Normal",".282",".314",  
"1B","Start, Joe L  ","$3,222,000","5723",".267",".322",".332","63.3","114.5","13.9","Av","6294",".603",".669","1","","Av/79","","","","","","","&nbsp;","Pr","Normal",".293",".332",  
"SS, 2B","Burleson, Rick R  ","$3,221,000","17052",".238",".294",".298","51.3","270.7","14.1","Vg","18907",".595",".593","0","","","Vg/108","","Vg/81","","","","&nbsp;","Fr","Prone",".299",".294",  
"C","Lau, Charlie L  ","$3,220,000","11367",".262",".320",".357","67.5","133.7","12.9","Fr","12507",".476",".708","5","Fr/107","","","","","","","","&nbsp;","Pr","Prone",".240",".332",  
"1B, LF","Sisler, Dick L  ","$3,218,000","5687",".250",".304",".363","66.2","57.4","14.2","Av","6273",".584",".694","3","","Av/156","","","","Av/111","","","Fr","Pr","Normal",".279",".312",  
"2B, 3B, SS","Scott, Rodney S  ","$3,217,000","12670",".227",".317",".278","58.6","207.7","8.86","Vg","14695",".657",".543","-2","","","Vg/105","Av/143","Fr/152","","","","&nbsp;","Ex","Normal",".339",".299",  
"2B, 1B, 3B","Taylor, Tony R  ","$3,217,000","4477",".239",".303",".306","55.8","194.7","13.1","Ex","4981",".559",".633","0","","Fr/98","Av/86","Av/59","","","","","&nbsp;","Av","Normal",".286",".311",  
"RF, LF, CF","Heathcote, Cliff L  ","$3,210,000","5996",".247",".310",".347","62.4","67.4","12.5","Vg","6679",".630",".675","0","","","","","","Vg/82","Av/82","Vg/82","Av","Vg","Normal",".305",".316",  
"RF, LF, CF","Tobin, Jack L  ","$3,208,000","2883",".276",".326",".373","72.9","65.5","14.7","Vg","3164",".670",".710","1","","","","","","Fr/117","Pr/117","Fr/117","Av","Av","Normal",".312",".331",  
"CF","Baldelli, Rocco R  ","$3,205,000","8621",".276",".323",".407","78.5","42.7","17.2","Vg","9363",".779",".671","-2","","","","","","","Av/127","","Av","Av","Fragile",".341",".302",  
"LF, 3B","Hodgin, Ralph L  ","$3,203,000","4583",".262",".299",".352","59.2","147.8","25.1","Av","4925",".618",".662","1","","","","Av/121","","Vg/61","","","Fr","Pr","Normal",".292",".301",  
"CF, LF, RF","Lewis, Darren R  ","$3,195,000","19551",".224",".296",".263","47.6","698.2","11.3","Av","21998",".549",".567","0","","","","","","Vg/33","Vg/33","Vg/33","Av","Ex","Normal",".291",".300",  
"C","Ferrell, Rick R  ","$3,194,000","7791",".237",".319",".307","59.8","114.6","9.45","Fr","8907",".628",".625","0","Av/82","","","","","","","","&nbsp;","Pr","Prone",".318",".319",  
"1B","Bream, Sid L  ","$3,192,000","8777",".244",".314",".378","69.8","44.1","10.6","Fr","9838",".546",".717","2","","Vg/103","","","","","","","&nbsp;","Av","Prone",".274",".321",  
"1B","Lee, Travis L  ","$3,189,000","9427",".252",".328",".360","70.8","57.1","9.70","Av","10637",".649",".701","1","","Av/46","","","","","","","&nbsp;","Fr","Fragile",".307",".335",  
"SS","Mercer, Jordy R  ","$3,189,000","7296",".253",".303",".346","61.2","89.0","15.4","Av","7928",".699",".621","-3","","","","","Av/76","","","","&nbsp;","Pr","Prone",".326",".290",  
"SS","Wilson, Jack R  ","$3,189,000","11071",".256",".296",".327","57.1","187.6","19.1","Vg","11969",".673",".595","-1","","","","","Vg/83","","","","&nbsp;","Fr","Fragile",".311",".288",  
"1B, LF, CF, RF","Lockman, Whitey L  ","$3,183,000","8469",".274",".324",".342","68.6","188.2","14.6","Av","9273",".660",".668","1","","Av/112","","","","Vg/107","Av/107","Vg/107","Fr","Fr","Normal",".325",".323",  
"CF","Bosetti, Rick R  ","$3,182,000","7171",".224",".269",".291","43.1","143.4","18.3","Ex","7746",".500",".595","1","","","","","","","Ex/88","","Av","Vg","Normal",".247",".282",  
"2B, LF","Hudler, Rex R  ","$3,179,000","14837",".249",".284",".381","62.1","42.9","23.6","Vg","15753",".689",".651","-1","","","Vg/133","","","Av/120","","","Vg","Ex","Prone",".291",".280",  
"2B","Cruz, Julio S  ","$3,176,000","12562",".229",".311",".267","57.3","1395.8","9.47","Vg","14276",".593",".570","-1","","","Vg/89","","","","","","&nbsp;","Ex","Prone",".323",".305",  
"1B","Sheely, Earl R  ","$3,169,000","7968",".259",".333",".360","71.8","57.7","10.5","Fr","9032",".711",".680","0","","Fr/85","","","","","","","&nbsp;","Fr","Normal",".341",".328",  
"SS, 2B, 3B","Bridwell, Al L  ","$3,165,000","10280",".237",".322",".304","59.3","81.6","9.16","Av","11693",".593",".640","1","","","Av/118","Av/106","Av/87","","","","&nbsp;","Av","Prone",".312",".326",  
"CF, LF, RF","Neis, Bernie S  ","$3,164,000","1248",".235",".322",".346","66.2","41.6","8.77","Ex","1429",".720",".639","-1","","","","","","Av/144","Av/144","Av/144","Av","Av","Normal",".332",".316",  
"CF, LF","McDowell, Oddibe L  ","$3,162,000","6421",".240",".312",".352","68.3","58.9","10.5","Vg","7237",".561",".691","2","","","","","","Av/66","Av/66","","Av","Ex","Normal",".274",".322",  
"3B, RF","Parrish, Larry R  ","$3,161,000","18380",".242",".298",".402","67.7","28.5","14.3","Av","20068",".722",".684","-1","","","","Fr/116","","","","Pr/159","Av","Fr","Prone",".306",".292",  
"RF, LF, CF","Tucker, Michael L  ","$3,160,000","8254",".238",".313",".359","68.7","50.3","10.4","Av","9269",".580",".684","2","","","","","","Av/84","Av/84","Av/84","Av","Av","Normal",".284",".317",  
"1B","Broussard, Ben L  ","$3,159,000","10354",".257",".313",".417","77.9","30.2","13.7","Av","11374",".604",".758","2","","Av/132","","","","","","","&nbsp;","Fr","Normal",".274",".322",  
"RF, LF, CF","Herzog, Whitey L  ","$3,153,000","23309",".250",".341",".341","74.5","100.9","8.27","Av","26852",".544",".695","4","","","","","","Av/89","Fr/89","Av/89","Fr","Fr","Prone",".294",".346",  
"3B, SP","Yeager, Joe R  ","$3,153,000","8113",".253",".315",".377","69.8","58.0","15.3","Av","9021",".714",".676","-1","","","","Av/90","","","","","&nbsp;","Av","Normal",".319",".312",  
"CF, LF, RF","Curtis, Chad R  ","$3,148,000","14337",".249",".329",".348","69.6","65.5","9.46","Vg","16287",".712",".579","-2","","","","","","Av/111","Av/111","Av/111","Av","Vg","Normal",".340",".299",  
"RF, LF","Ochoa, Alex R  ","$3,143,000","8710",".257",".317",".351","66.1","97.9","12.6","Av","9588",".704",".637","-1","","","","","","Vg/106","","Vg/106","Vg","Av","Normal",".327",".307",  
"RF, LF, CF","Swoboda, Ron R  ","$3,142,000","7307",".242",".321",".366","67.7","46.0","9.86","Av","8250",".702",".661","-1","","","","","","Av/119","Fr/119","Av/119","Vg","Fr","Prone",".328",".310",  
"C","Cervelli, Francisco R  ","$3,141,000","6802",".249",".336",".317","65.0","147.9","9.56","Av","7789",".684",".636","-1","Av/133","","","","","","","","&nbsp;","Pr","Fragile",".347",".331",  
"SS","Uribe, Jose S  ","$3,139,000","14691",".240",".282",".302","49.6","272.1","18.3","Vg","15862",".625",".569","-1","","","","","Vg/90","","","","&nbsp;","Av","Prone",".297",".276",  
"C","Nokes, Matt L  ","$3,138,000","17836",".240",".289",".394","65.1","27.2","16.4","Pr","19302",".597",".699","1","Fr/95","","","","","","","","&nbsp;","Pr","Prone",".262",".293",  
"1B","Garko, Ryan R  ","$3,135,000","13740",".262",".337",".387","78.6","42.4","12.7","Pr","15496",".774",".675","-2","","Fr/101","","","","","","","&nbsp;","Pr","Normal",".356",".318",  
"CF, RF","Powell, Ray L  ","$3,134,000","11088",".241",".321",".376","72.3","42.6","9.59","Av","12586",".670",".704","2","","","","","","","Av/113","Av/113","Av","Av","Normal",".319",".322",  
"CF, LF, RF","Webster, Mitch S  ","$3,133,000","7623",".239",".305",".349","64.9","76.2","12.0","Av","8509",".685",".637","-1","","","","","","Vg/106","Av/106","Vg/106","Av","Vg","Normal",".316",".299",  
"RF, LF","Gross, Gabe L  ","$3,129,000","16494",".240",".327",".361","74.3","50.1","8.64","Vg","18861",".491",".707","4","","","","","","Av/90","","Av/90","Av","Fr","Normal",".263",".333",  
"SP, 1B","Bentley, Jack L  ","$3,127,000","3231",".258",".293",".349","58.8","82.8","21.2","Av","3450",".600",".655","3","","Pr/96","","","","","","","&nbsp;","Pr","Normal",".278",".298",  
"CF, LF, RF","Henderson, Ken S  ","$3,124,000","4815",".238",".317",".351","67.2","50.7","9.85","Av","5417",".629",".681","1","","","","","","Av/102","Av/102","Av/102","Av","Av","Prone",".292",".325",  
"RF","Polanco, Gregory L  ","$3,124,000","6103",".250",".318",".391","75.8","40.4","10.9","Vg","6829",".536",".741","3","","","","","","","","Av/132","Vg","Vg","Fragile",".264",".329",  
"2B","Knabe, Otto R  ","$3,122,000","8922",".227",".304",".310","56.7","83.4","10.3","Av","10112",".605",".619","-1","","","Vg/89","","","","","","&nbsp;","Av","Normal",".299",".307",  
"CF","Martin, Leonys L  ","$3,121,000","3449",".237",".291",".305","54.4","123.2","14.8","Vg","3785",".545",".617","2","","","","","","","Vg/78","","Ex","Vg","Prone",".263",".302",  
